what,kind,bundleId,bundleVersion,description,time
error,log,,,"Current file is not a match for the given config.",1327063873358
error,log,,,"Current file is not a match for the given config.",1327063873364
error,log,,,"Current file is not a match for the given config.",1327063873371
error,log,,,"Current file is not a match for the given config.",1327063873374
error,log,,,"Current file is not a match for the given config.",1327063873378
error,log,,,"Current file is not a match for the given config.",1327063873381
error,log,,,"Current file is not a match for the given config.",1327063873386
error,log,,,"Current file is not a match for the given config.",1327063873390
error,log,,,"Current file is not a match for the given config.",1327063873396
error,log,,,"Current file is not a match for the given config.",1327063873400
error,log,,,"Current file is not a match for the given config.",1327063873403
error,log,,,"Current file is not a match for the given config.",1327063873409
error,log,,,"Current file is not a match for the given config.",1327063873414
error,log,,,"Current file is not a match for the given config.",1327063873420
error,log,,,"Current file is not a match for the given config.",1327063873424
error,log,,,"Current file is not a match for the given config.",1327063873427
error,log,,,"Current file is not a match for the given config.",1327063873431
error,log,,,"Current file is not a match for the given config.",1327063873435
error,log,,,"Current file is not a match for the given config.",1327063873442
error,log,,,"Current file is not a match for the given config.",1327063873445
error,log,,,"Current file is not a match for the given config.",1327063873449
error,log,,,"Current file is not a match for the given config.",1327063873453
error,log,,,"Current file is not a match for the given config.",1327063873456
error,log,,,"Current file is not a match for the given config.",1327063873461
error,log,,,"Current file is not a match for the given config.",1327063873464
error,log,,,"Current file is not a match for the given config.",1327063873477
error,log,,,"Current file is not a match for the given config.",1327063873481
error,log,,,"Current file is not a match for the given config.",1327063873484
error,log,,,"Current file is not a match for the given config.",1327063873488
error,log,,,"Current file is not a match for the given config.",1327063873493
error,log,,,"Current file is not a match for the given config.",1327063873497
error,log,,,"Current file is not a match for the given config.",1327063873506
error,log,,,"Current file is not a match for the given config.",1327063873511
error,log,,,"Current file is not a match for the given config.",1327063873515
error,log,,,"Current file is not a match for the given config.",1327063873521
error,log,,,"Current file is not a match for the given config.",1327063873525
error,log,,,"Current file is not a match for the given config.",1327063873528
error,log,,,"Current file is not a match for the given config.",1327063873534
error,log,,,"Current file is not a match for the given config.",1327063873541
error,log,,,"Current file is not a match for the given config.",1327063873546
error,log,,,"Current file is not a match for the given config.",1327063873549
error,log,,,"Current file is not a match for the given config.",1327063873558
error,log,,,"Current file is not a match for the given config.",1327063873564
error,log,,,"Current file is not a match for the given config.",1327063873567
error,log,,,"Current file is not a match for the given config.",1327063873574
error,log,,,"Current file is not a match for the given config.",1327063873584
error,log,,,"Current file is not a match for the given config.",1327063873590
error,log,,,"Current file is not a match for the given config.",1327063873593
error,log,,,"Current file is not a match for the given config.",1327063873596
error,log,,,"Current file is not a match for the given config.",1327063873608
error,log,,,"Current file is not a match for the given config.",1327063873614
error,log,,,"Current file is not a match for the given config.",1327063873622
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327063873721
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1327063883808
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1327063883815
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1327063883820
